Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2013-12-10 22:39:20;2013-12-11 06:50:19;86%;8:10;;;;0

2013-12-11 23:01:31;2013-12-12 06:35:47;62%;7:34;;;;0

2013-12-12 23:29:08;2013-12-13 06:30:48;66%;7:01;;;;0

2013-12-14 01:03:42;2013-12-14 09:24:52;74%;8:21;;;;0

2013-12-14 23:47:15;2013-12-15 08:17:08;86%;8:29;;;;0

2013-12-16 00:41:30;2013-12-16 06:44:42;67%;6:03;;;;0

2013-12-17 23:02:05;2013-12-18 06:32:04;76%;7:29;;;;0

2013-12-19 01:27:23;2013-12-19 07:06:24;62%;5:39;;;;0

2013-12-19 22:55:23;2013-12-20 07:11:38;99%;8:16;;;;0

2013-12-22 22:42:58;2013-12-23 06:44:48;71%;8:01;;;;0

2013-12-29 23:16:06;2013-12-30 06:36:51;86%;7:20;;;;0

2013-12-30 23:31:22;2013-12-31 06:57:36;76%;7:26;;;;0

2014-01-07 22:35:00;2014-01-08 06:39:40;74%;8:04;;;;0

2014-01-08 23:52:41;2014-01-09 07:07:43;90%;7:15;;;;0

2014-01-09 23:10:47;2014-01-10 07:06:23;87%;7:55;;;;0

2014-01-11 02:24:38;2014-01-11 09:26:03;81%;7:01;;;;0

2014-01-12 01:54:35;2014-01-12 09:05:42;80%;7:11;;;;0

2014-01-13 00:02:41;2014-01-13 07:27:38;65%;7:24;;;;0

2014-01-13 22:51:04;2014-01-14 07:02:48;75%;8:11;;;;0

2014-01-15 00:36:44;2014-01-15 07:06:15;78%;6:29;;;;0

2014-01-15 23:25:39;2014-01-16 05:35:55;67%;6:10;;;;0

2014-01-16 23:49:35;2014-01-17 06:57:20;76%;7:07;;;;0

2014-01-17 23:26:32;2014-01-18 10:21:38;76%;10:55;;;;0

2014-01-19 01:21:46;2014-01-19 09:23:44;72%;8:01;;;;0

2014-01-19 23:07:02;2014-01-20 07:11:59;50%;8:04;;;;0

2014-01-20 22:51:10;2014-01-21 07:03:51;79%;8:12;;;;0

2014-01-21 23:31:30;2014-01-22 07:01:57;85%;7:30;;;;0

2014-01-22 22:45:08;2014-01-23 07:03:49;84%;8:18;;;;0

2014-01-23 23:39:27;2014-01-24 07:06:34;68%;7:27;;;;0

2014-01-25 02:05:52;2014-01-25 08:24:18;65%;6:18;;;;0

2014-01-26 01:51:54;2014-01-26 08:01:00;61%;6:09;;;;0

2014-01-26 23:25:09;2014-01-27 07:07:29;80%;7:42;;;;0

2014-01-27 23:11:20;2014-01-28 05:34:05;63%;6:22;;;;0

2014-01-28 23:23:54;2014-01-29 07:06:21;87%;7:42;;;;0

2014-01-29 23:12:57;2014-01-30 07:06:12;83%;7:53;;;;0

2014-01-30 23:09:04;2014-01-31 06:36:32;83%;7:27;;;;0

2014-02-01 01:13:24;2014-02-01 09:03:10;87%;7:49;;;;0

2014-02-03 00:01:56;2014-02-03 07:04:41;85%;7:02;;;;0

2014-02-03 23:30:40;2014-02-04 07:25:02;91%;7:54;;;;0

2014-02-04 23:54:56;2014-02-05 07:10:01;80%;7:15;;;;0

2014-02-05 23:10:59;2014-02-06 07:05:32;91%;7:54;;;;0

2014-02-06 23:59:39;2014-02-07 06:57:34;74%;6:57;;;;0

2014-02-08 00:36:36;2014-02-08 09:24:39;91%;8:48;;;;0

2014-02-09 01:03:10;2014-02-09 08:45:18;91%;7:42;;;;0

2014-02-10 00:18:03;2014-02-10 07:05:47;74%;6:47;;;;0

2014-02-10 23:30:44;2014-02-11 07:06:56;81%;7:36;;;;0

2014-02-12 00:31:52;2014-02-12 07:07:27;72%;6:35;;;;0

2014-02-13 00:37:20;2014-02-13 07:05:03;70%;6:27;;;;0

2014-02-14 01:10:46;2014-02-14 07:05:03;61%;5:54;;;;0

2014-02-14 23:59:24;2014-02-15 08:46:19;94%;8:46;;;;0

2014-02-16 00:30:38;2014-02-16 08:12:03;71%;7:41;;;;0

2014-02-17 00:53:36;2014-02-17 07:10:08;76%;6:16;;;;0

2014-02-18 00:08:23;2014-02-18 07:00:53;62%;6:52;;;;0

2014-02-19 01:15:51;2014-02-19 07:49:16;39%;6:33;;;;0

2014-02-21 01:14:10;2014-02-21 08:03:40;70%;6:49;;;;0

2014-02-22 00:36:21;2014-02-22 07:54:26;89%;7:18;;;;0

2014-02-22 22:35:32;2014-02-23 08:53:35;91%;10:18;;;;0

2014-02-23 23:25:27;2014-02-24 07:32:28;76%;8:07;;Drank coffee;;0

2014-02-25 00:19:04;2014-02-25 07:44:05;78%;7:25;;;;0

2014-02-26 00:00:30;2014-02-26 07:42:12;81%;7:41;;Drank coffee:Stressful day;;0

2014-02-27 00:11:57;2014-02-27 07:55:46;85%;7:43;;Ate late:Drank coffee;;0

2014-02-28 02:12:18;2014-02-28 07:52:17;56%;5:39;;Drank coffee:Worked out;;0

2014-03-01 01:35:30;2014-03-01 08:33:10;79%;6:57;;Ate late:Drank coffee;;0

2014-03-02 01:01:35;2014-03-02 09:00:55;88%;7:59;;Drank coffee;;0

2014-03-03 00:45:47;2014-03-03 07:31:54;77%;6:46;;Drank coffee;;0

2014-03-03 23:46:15;2014-03-04 07:35:10;76%;7:48;;Drank coffee:Stressful day;;0

2014-03-04 23:44:41;2014-03-05 07:18:10;91%;7:33;;Drank coffee;;0

2014-03-05 23:56:57;2014-03-06 07:14:02;81%;7:17;;Drank coffee;;0

2014-03-06 21:48:25;2014-03-07 07:03:04;93%;9:14;;Drank coffee:Stressful day;;0

2014-03-08 00:14:31;2014-03-08 08:19:28;84%;8:04;;Drank coffee:Stressful day;;0

2014-03-08 23:21:16;2014-03-09 09:25:17;90%;9:04;;Drank coffee:Worked out;;0

2014-03-09 23:56:19;2014-03-10 07:31:49;73%;7:35;;Ate late:Drank coffee;;0

2014-03-10 23:53:52;2014-03-11 07:28:14;57%;7:34;;Drank coffee:Stressful day;;0

2014-03-11 23:47:27;2014-03-12 07:08:31;73%;7:21;;Ate late:Drank coffee;;0

2014-03-13 00:22:54;2014-03-13 07:06:38;65%;6:43;;Ate late;;0

2014-03-13 23:43:18;2014-03-14 07:14:32;54%;7:31;;Drank coffee;;0

2014-03-15 01:10:30;2014-03-15 08:03:52;60%;6:53;;Stressful day;;0

2014-03-16 00:54:56;2014-03-16 08:57:29;58%;8:02;;;;0

2014-03-16 22:34:57;2014-03-17 06:03:35;65%;7:28;;;;0

2014-03-18 00:23:58;2014-03-18 06:40:21;64%;6:16;;;;0

2014-03-18 23:00:54;2014-03-19 07:35:40;88%;8:34;;Drank coffee;;0

2014-03-20 00:33:25;2014-03-20 07:03:01;64%;6:29;;Drank coffee;;0

2014-03-21 00:41:57;2014-03-21 07:04:29;68%;6:22;;Ate late:Drank coffee;;0

2014-03-22 01:11:15;2014-03-22 10:31:26;83%;9:20;;Ate late:Drank coffee;;0

2014-03-23 01:00:52;2014-03-23 09:21:22;82%;8:20;;Worked out;;0

2014-03-23 23:23:11;2014-03-24 07:04:11;72%;7:40;;Worked out;;0

2014-03-24 23:37:31;2014-03-25 07:33:08;91%;7:55;;Drank coffee;;0

2014-03-25 23:33:01;2014-03-26 07:40:38;81%;8:07;;Drank coffee;;0

2014-03-26 23:17:40;2014-03-27 07:40:27;69%;8:22;;Drank coffee;;0

2014-03-28 00:31:21;2014-03-28 06:31:48;57%;6:00;;Drank coffee;;0

2014-03-29 01:35:09;2014-03-29 08:53:57;69%;7:18;;Drank coffee;;0

2014-03-30 00:00:04;2014-03-30 08:46:00;90%;8:45;;Worked out;;0

2014-03-30 23:31:03;2014-03-31 07:05:45;78%;7:34;;;;0

2014-03-31 23:25:06;2014-04-01 07:06:06;76%;7:40;;Drank coffee:Stressful day;;0

2014-04-01 23:15:14;2014-04-02 07:09:36;81%;7:54;;Drank coffee:Stressful day;;0

2014-04-02 23:40:37;2014-04-03 07:13:41;77%;7:33;;Drank coffee;;0

2014-04-04 00:11:10;2014-04-04 07:05:10;59%;6:54;;Ate late:Drank coffee;;0

2014-04-05 02:06:40;2014-04-05 08:45:04;63%;6:38;;Ate late:Drank coffee;;0

2014-04-06 01:08:17;2014-04-06 08:48:35;73%;7:40;;Drank coffee;;0

2014-04-07 00:53:11;2014-04-07 07:05:50;67%;6:12;;Drank coffee;;0

2014-04-08 01:33:00;2014-04-08 07:05:24;49%;5:32;;Drank coffee;;0

2014-04-09 00:33:43;2014-04-09 07:04:39;64%;6:30;;Drank coffee;;0

2014-04-10 01:46:52;2014-04-10 07:10:57;57%;5:24;;;;0

2014-04-10 21:41:43;2014-04-11 06:35:44;90%;8:54;;;;0

2014-04-13 23:57:51;2014-04-14 07:16:18;91%;7:18;;Drank coffee;;0

2014-04-15 02:11:46;2014-04-15 07:21:36;52%;5:09;;Drank coffee;;0

2014-04-15 23:07:46;2014-04-16 07:02:33;87%;7:54;;Ate late:Drank coffee;;0

2014-04-16 23:35:21;2014-04-17 07:30:42;52%;7:55;;;;0

2014-04-18 01:01:14;2014-04-18 07:08:17;74%;6:07;;Drank coffee;;0

2014-04-20 00:22:55;2014-04-20 07:01:22;74%;6:38;;Ate late;;0

2014-04-20 22:53:19;2014-04-21 07:16:07;71%;8:22;;;;0

2014-04-21 23:27:22;2014-04-22 07:03:24;82%;7:36;;Drank coffee;;0

2014-04-22 23:43:30;2014-04-23 07:18:27;85%;7:34;;Drank coffee;;0

2014-04-23 23:05:12;2014-04-24 07:42:55;74%;8:37;;Drank coffee;;0

2014-04-25 00:47:34;2014-04-25 07:37:38;75%;6:50;;;;0

2014-04-27 23:16:33;2014-04-28 07:00:36;84%;7:44;;Drank coffee;;0

2014-04-28 23:49:51;2014-04-29 07:38:21;79%;7:48;;Drank coffee;;0

2014-04-29 23:54:01;2014-04-30 07:14:58;68%;7:20;;Drank coffee;;0

2014-04-30 23:14:52;2014-05-01 07:32:16;84%;8:17;;Drank coffee;;0

2014-05-01 22:42:22;2014-05-02 07:01:50;64%;8:19;;Drank coffee;;0

2014-05-03 00:17:05;2014-05-03 08:52:24;64%;8:35;;Ate late:Drank coffee;;0

2014-05-04 00:18:16;2014-05-04 08:45:07;86%;8:26;;Drank coffee;;0

2014-05-04 23:29:48;2014-05-05 07:25:35;81%;7:55;;Drank coffee;;0

2014-05-06 00:26:19;2014-05-06 07:28:42;70%;7:02;;Drank coffee;;0

2014-05-06 23:52:26;2014-05-07 07:33:29;83%;7:41;;Drank coffee;;0

2014-05-07 23:24:36;2014-05-08 06:50:09;69%;7:25;;Drank coffee;;0

2014-05-10 00:48:16;2014-05-10 09:05:06;90%;8:16;;Ate late:Drank coffee;;0

2014-05-11 22:18:17;2014-05-12 07:03:09;78%;8:44;;Drank coffee:Stressful day;;0

2014-05-12 22:44:20;2014-05-13 07:16:44;85%;8:32;;Ate late:Drank coffee:Stressful day;;0

2014-05-13 23:36:23;2014-05-14 07:02:14;78%;7:25;;Ate late:Drank coffee;;0

2014-05-14 23:22:18;2014-05-15 06:14:49;76%;6:52;;Drank coffee:Worked out;;0

2014-05-15 22:44:35;2014-05-16 06:37:02;88%;7:52;;;;0

2014-05-18 01:08:32;2014-05-18 07:48:09;76%;6:39;;Drank coffee:Worked out;;0

2014-05-18 22:44:40;2014-05-19 06:23:18;86%;7:38;;Drank coffee:Worked out;;0

2014-05-19 22:53:10;2014-05-20 06:09:51;82%;7:16;;Drank coffee:Worked out;;0

2014-05-20 22:55:02;2014-05-21 06:18:31;82%;7:23;;Ate late:Drank coffee:Worked out;;0

2014-05-21 23:36:20;2014-05-22 06:35:59;71%;6:59;;Ate late:Drank coffee:Worked out;;0

2014-05-22 22:54:51;2014-05-23 06:36:08;89%;7:41;;Drank coffee:Worked out;;0

2014-05-24 00:20:32;2014-05-24 08:04:49;89%;7:44;;Ate late:Drank coffee:Worked out;;0

2014-05-24 23:42:24;2014-05-25 08:03:15;89%;8:20;;Drank coffee:Worked out;;0

2014-05-25 23:17:44;2014-05-26 06:40:38;73%;7:22;;Drank coffee:Worked out;;0

2014-05-26 22:10:22;2014-05-27 06:20:17;80%;8:09;;Worked out;;0

2014-05-27 23:01:57;2014-05-28 05:59:58;70%;6:58;;Drank coffee;;0

2014-05-28 23:06:41;2014-05-29 06:40:16;88%;7:33;;Drank coffee:Worked out;;0

2014-05-30 00:12:53;2014-05-30 07:06:52;67%;6:53;;Drank coffee;;0

2014-06-02 00:12:50;2014-06-02 07:09:02;84%;6:56;;Ate late:Drank coffee;;0

2014-06-02 23:22:30;2014-06-03 06:07:04;80%;6:44;;Ate late:Drank coffee;;0

2014-06-03 23:33:58;2014-06-04 06:07:01;58%;6:33;;Ate late:Drank coffee:Up at 6:Worked out;;0

2014-06-04 23:32:08;2014-06-05 07:01:13;84%;7:29;;Drank coffee:Up at 6;;0

2014-06-05 23:27:11;2014-06-06 06:03:28;82%;6:36;;Drank coffee:Up at 6:Worked out;;0

2014-06-07 00:41:41;2014-06-07 07:02:51;75%;6:21;;Drank coffee;;0

2014-06-07 23:27:01;2014-06-08 07:06:53;89%;7:39;;Ate late:Drank coffee:Slept in;;0
